Gene stable ID	Transcript stable ID	Gene stable ID	Transcript stable ID
AT3G24490	AT3G24490.1	Os01g0718900	Os01t0718900-01
AT5G03880	AT5G03880.1	Os08g0558200	Os08t0558200-01
AT1G33080	AT1G33080.2	Os12g0125500	Os12t0125500-01
AT1G33080	AT1G33080.1	Os12g0125500	Os12t0125500-01
AT3G07320	AT3G07320.1	Os09g0502200	Os09t0502200-01
AT5G38420	AT5G38420.1	Os12g0291200	Os12t0291200-00
AT5G47520	AT5G47520.1	Os07g0634200	Os07t0634200-01
AT3G46650	AT3G46650.1	Os07g0240600	Os07t0240600-01
AT5G37170	AT5G37170.1	Os04g0175900	Os04t0175900-01
AT5G37170	AT5G37170.1	Os04g0175600	Os04t0175600-01
AT5G37170	AT5G37170.2	Os04g0175900	Os04t0175900-01
AT5G37170	AT5G37170.2	Os04g0175600	Os04t0175600-01
AT5G37170	AT5G37170.3	Os04g0175900	Os04t0175900-01
AT5G37170	AT5G37170.3	Os04g0175600	Os04t0175600-01
AT3G46700	AT3G46700.1	Os07g0240600	Os07t0240600-01
AT1G27480	AT1G27480.1	Os03g0730000	Os03t0730000-01
AT3G46660	AT3G46660.1	Os07g0240600	Os07t0240600-01
AT5G43840	AT5G43840.1	Os10g0419300	Os10t0419300-02
AT5G43840	AT5G43840.1	Os10g0419300	Os10t0419300-01
AT5G53810	AT5G53810.1	Os04g0175900	Os04t0175900-01
AT5G53810	AT5G53810.1	Os04g0175600	Os04t0175600-01
AT4G22305	AT4G22305.1	Os04g0669500	Os04t0669500-01
AT4G22305	AT4G22305.2	Os04g0669500	Os04t0669500-01
AT3G44990	AT3G44990.1	Os10g0545500	Os10t0545500-00
AT1G33110	AT1G33110.1	Os12g0125500	Os12t0125500-01
AT1G33110	AT1G33110.2	Os12g0125500	Os12t0125500-01
AT5G05860	AT5G05860.1	Os07g0240600	Os07t0240600-01
AT3G08710	AT3G08710.1	Os01g0168200	Os01t0168200-01
AT3G08710	AT3G08710.3	Os01g0168200	Os01t0168200-01
AT3G08710	AT3G08710.2	Os01g0168200	Os01t0168200-01
AT1G33100	AT1G33100.1	Os12g0125500	Os12t0125500-01
AT5G05900	AT5G05900.1	Os07g0240600	Os07t0240600-01
AT5G38040	AT5G38040.1	Os07g0240600	Os07t0240600-01
AT1G08470	AT1G08470.1	Os03g0750700	Os03t0750700-01
AT5G04670	AT5G04670.1	Os02g0100200	Os02t0100200-01
AT5G04670	AT5G04670.2	Os02g0100200	Os02t0100200-01
AT1G64390	AT1G64390.1	Os01g0220100	Os01t0220100-01
AT5G37950	AT5G37950.2	Os07g0240600	Os07t0240600-01
AT5G37950	AT5G37950.1	Os07g0240600	Os07t0240600-01
AT5G05870	AT5G05870.1	Os07g0240600	Os07t0240600-01
AT3G46670	AT3G46670.1	Os07g0240600	Os07t0240600-01
AT5G38430	AT5G38430.2	Os12g0291200	Os12t0291200-00
AT5G38430	AT5G38430.1	Os12g0291200	Os12t0291200-00
AT5G37020	AT5G37020.3	Os04g0671900	Os04t0671900-01
AT5G37020	AT5G37020.3	Os04g0671900	Os04t0671900-03
AT5G37020	AT5G37020.3	Os04g0671900	Os04t0671900-02
AT5G37020	AT5G37020.1	Os04g0671900	Os04t0671900-01
AT5G37020	AT5G37020.1	Os04g0671900	Os04t0671900-03
AT5G37020	AT5G37020.1	Os04g0671900	Os04t0671900-02
AT5G37020	AT5G37020.2	Os04g0671900	Os04t0671900-01
AT5G37020	AT5G37020.2	Os04g0671900	Os04t0671900-03
AT5G37020	AT5G37020.2	Os04g0671900	Os04t0671900-02
AT4G14080	AT4G14080.1	Os09g0502200	Os09t0502200-01
AT2G18915	AT2G18915.2	Os02g0150800	Os02t0150800-01
AT2G18915	AT2G18915.1	Os02g0150800	Os02t0150800-01
AT5G65550	AT5G65550.1	Os11g0202500	Os11t0202500-00
AT5G20910	AT5G20910.1	Os09g0434200	Os09t0434200-02
AT5G20910	AT5G20910.1	Os09g0434200	Os09t0434200-01
AT1G77520	AT1G77520.1	Os04g0175900	Os04t0175900-01
AT1G77520	AT1G77520.1	Os04g0175600	Os04t0175600-01
AT1G33090	AT1G33090.1	Os12g0125500	Os12t0125500-01
AT3G55710	AT3G55710.1	Os07g0240600	Os07t0240600-01
AT1G62900	AT1G62900.1	Os04g0175900	Os04t0175900-01
AT1G62900	AT1G62900.1	Os04g0175600	Os04t0175600-01
AT1G21100	AT1G21100.1	Os04g0175900	Os04t0175900-01
AT1G21100	AT1G21100.1	Os04g0175600	Os04t0175600-01
AT2G24430	AT2G24430.2	Os09g0497900	Os09t0497900-01
AT2G24430	AT2G24430.1	Os09g0497900	Os09t0497900-01
AT4G11050	AT4G11050.2	Os01g0220100	Os01t0220100-01
AT4G11050	AT4G11050.3	Os01g0220100	Os01t0220100-01
AT4G11050	AT4G11050.1	Os01g0220100	Os01t0220100-01
AT1G05610	AT1G05610.1	Os09g0298200	Os09t0298200-01
AT1G05610	AT1G05610.1	Os09g0298200	Os09t0298200-02
AT1G05610	AT1G05610.2	Os09g0298200	Os09t0298200-01
AT1G05610	AT1G05610.2	Os09g0298200	Os09t0298200-02
AT3G55700	AT3G55700.1	Os07g0240600	Os07t0240600-01
AT1G21110	AT1G21110.1	Os04g0175900	Os04t0175900-01
AT1G21110	AT1G21110.1	Os04g0175600	Os04t0175600-01
AT1G76790	AT1G76790.1	Os04g0175900	Os04t0175900-01
AT1G76790	AT1G76790.1	Os04g0175600	Os04t0175600-01
AT1G77530	AT1G77530.1	Os04g0175900	Os04t0175900-01
AT1G77530	AT1G77530.1	Os04g0175600	Os04t0175600-01
AT1G77530	AT1G77530.2	Os04g0175900	Os04t0175900-01
AT1G77530	AT1G77530.2	Os04g0175600	Os04t0175600-01
AT1G63140	AT1G63140.4	Os04g0175900	Os04t0175900-01
AT1G63140	AT1G63140.4	Os04g0175600	Os04t0175600-01
AT1G63140	AT1G63140.2	Os04g0175900	Os04t0175900-01
AT1G63140	AT1G63140.2	Os04g0175600	Os04t0175600-01
AT1G63140	AT1G63140.3	Os04g0175900	Os04t0175900-01
AT1G63140	AT1G63140.3	Os04g0175600	Os04t0175600-01
AT1G63140	AT1G63140.1	Os04g0175900	Os04t0175900-01
